Account,HasWAF,WebACL_Name,DefaultAction,LoggingEnabled,S3_Unprotected_Count,IAM_Old_Keys,IAM_Wildcard_Users,EC2_Total,EC2_Open_SGs,RiskLevel
agr-quicksight,NO,N/A,N/A,NO,2,0,0,0,0,CRÍTICO
agr-smartcash,YES,CreatedByCloudFront-4435c5f1-29e9-4a4f-8035-5ef6ba9085c7,Allow,YES,11,5,0,15,2,CRÍTICO
alcaldia-cali,NO,N/A,N/A,NO,6,0,0,0,0,CRÍTICO
bid-prod,YES,CreatedByCloudFront-9c3bed8f,Allow,NO,30,6,0,3,6,CRÍTICO
blend-pocs-workload,YES,ApiWebAcl-WebAclForPublishedApi,Block,NO,172,3,0,11,8,CRÍTICO
blend-prod-audit,NO,N/A,N/A,NO,3,0,0,0,0,CRÍTICO
blend-prod-log,NO,N/A,N/A,NO,6,0,0,0,0,CRÍTICO
btg-pactual,YES,btg-prod-web-acl-virginia-1,Allow,YES,17,4,0,27,2,CRÍTICO
catastro-dist,YES,ApiWebAcl-WebAclForPublishedApi,Block,YES,125,5,0,6,19,CRÍTICO
ccc-drp-w1,NO,N/A,N/A,NO,11,4,0,6,13,CRÍTICO
coljuegos-test,NO,N/A,N/A,NO,12,0,0,0,0,CRÍTICO
coljuegos-w1,YES,cjutest-ApiWebAcl-WebAclForPublishedApi,Block,NO,107,7,0,8,5,CRÍTICO
coljuegos-w2,NO,N/A,N/A,NO,46,3,0,3,4,CRÍTICO
corbeta-ai,NO,N/A,N/A,NO,12,0,0,1,0,CRÍTICO
hightech-master,NO,N/A,N/A,NO,14,1,0,0,1,CRÍTICO
icf-datalake,YES,icf-citacion-waf-prod,Allow,NO,105,6,1,12,5,CRÍTICO
icf-prod-w2,NO,N/A,N/A,NO,0,0,0,0,0,CRÍTICO
icfes-ia,NO,N/A,N/A,NO,1,0,0,0,0,CRÍTICO
icfes,YES,ApiWebAcl-WebAclForPublishedApi,Block,NO,73,2,0,2,2,CRÍTICO
metro-test-w2,YES,mmn-mra-chatbot-waf,Allow,NO,32,0,0,0,0,CRÍTICO
nuevaeps-rosa,NO,N/A,N/A,NO,1,0,0,4,0,CRÍTICO
nuv-demo,YES,nuvu-demo-houndoc-waf-alb,Allow,YES,36,4,0,14,25,CRÍTICO
nuv-prod-w10,YES,ApiWebAcl-WebAclForPublishedApi,Block,YES,549,48,0,57,140,CRÍTICO
nuv-prod,NO,N/A,N/A,NO,52,0,0,7,14,CRÍTICO
policia-poc-genai,YES,ponpoc-ApiWebAcl-WebAclForPublishedApi,Block,NO,54,1,0,4,0,CRÍTICO
pon-devs-ia,NO,N/A,N/A,NO,3,0,0,2,5,CRÍTICO
pon-prod-ia,YES,ponprod-ApiWebAcl-WebAclForPublishedApi,Block,YES,180,13,0,75,90,CRÍTICO
pon-prod-pbx,NO,N/A,N/A,NO,10,2,0,2,13,CRÍTICO
pon-prod-rnmc,YES,pon-prod-rnmc-waf-1,Allow,YES,28,6,0,5,10,CRÍTICO
pon-test-ia,YES,pontest-ApiWebAcl-WebAclForPublishedApi,Block,NO,88,10,0,19,28,CRÍTICO
prod-sdht,YES,FrontendWebAcl,Block,YES,38,2,0,2,6,CRÍTICO
progresion-procash,YES,pgs-prod-procash-waf,Allow,YES,6,0,0,4,0,CRÍTICO
progresion-test,NO,N/A,N/A,NO,18,0,0,5,3,CRÍTICO
san-test-wisse,NO,N/A,N/A,NO,10,1,0,2,2,CRÍTICO
sdp-distrital,YES,sdp-prod-waf-acl,Allow,YES,47,3,0,5,3,CRÍTICO
soc-supersociedades,NO,N/A,N/A,NO,153,21,0,91,25,CRÍTICO
uca-prod-wisse,NO,N/A,N/A,NO,47,8,0,18,5,CRÍTICO
una-prod-ia,YES,ApiWebAcl-WebAclForPublishedApi,Block,NO,329,5,0,27,49,CRÍTICO
